304966	117500.0 	 0.005 	 0 
304967	264480.0 	 0.005 	 0 
304968	47183.0 	 0.070 	 0 
304969	106200.0 	 0.076 	 0 
304972	22303.0 	 0.183 	 0 
304973	50223.0 	 0.179 	 0 
304974	89393.0 	 0.180 	 0 
304975	202950.0 	 0.170 	 0 
304976	11838.0 	 0.213 	 0 
304977	26645.0 	 0.214 	 0 
304978	47453.0 	 0.209 	 0 
304979	107930.0 	 0.207 	 0 
304980	196600.0 	 0.193 	 0 
304981	6808.0 	 0.236 	 0 
304982	15330.0 	 0.236 	 0 
304983	27305.0 	 0.229 	 0 
304984	62203.0 	 0.223 	 0 
304988	16670.0 	 0.240 	 0 
304989	38040.0 	 0.240 	 0 
304990	69833.0 	 0.223 	 0 
304992	10643.0 	 0.240 	 0 
304993	24338.0 	 0.235 	 0 
304996	29880.0 	 0.229 	 0 
304997	20483.0 	 0.225 	 0 
