304966	117500.0 	 0.011 	 0 
304967	264480.0 	 0.010 	 0 
304968	47183.0 	 0.128 	 0 
304969	106200.0 	 0.142 	 0 
304972	22303.0 	 0.355 	 0 
304973	50223.0 	 0.345 	 0 
304974	89393.0 	 0.351 	 0 
304975	202950.0 	 0.33 	 0 
304976	11838.0 	 0.410 	 0 
304977	26645.0 	 0.416 	 0 
304978	47453.0 	 0.410 	 0 
304979	107930.0 	 0.403 	 0 
304980	196600.0 	 0.386 	 0 
304981	6808.0 	 0.455 	 0 
304982	15330.0 	 0.448 	 0 
304983	27305.0 	 0.443 	 0 
304984	62203.0 	 0.433 	 0 
304988	16670.0 	 0.465 	 0 
304989	38040.0 	 0.457 	 0 
304990	69833.0 	 0.436 	 0 
304992	10643.0 	 0.466 	 0 
304993	24338.0 	 0.460 	 0 
304996	29880.0 	 0.447 	 0 
304997	20483.0 	 0.434 	 0 
